,As:1,As:2,As:3,As:4,As:5,As:6,As,Qz:1,Qz:2,Qz:3,Qz:4,Qz:5,Qz:6,Qz:7,Qz,S-I,S-II,Grade
Weight,3,3,3,3,3,3,15,2,2,2,2,2,2,2,10,15,15,
Total,60,100,140,80,120,80,,10,10,10,10,10,10,2,,15,15,
Sr.#,,,,,,,,,,,,,,,,,,
1,39.5,90,120,80,85,75,13.2,7.5,4.5,4.5,0,1,5,,4.5,9.75,8.62,Pass
2,40,62,93,32.5,75,76,10.57,1.5,,0.5,0,1,2,,1,3.37,3.93,Fail
3,42.5,63,120,62,65,50,10.78,,,1,0,1,0,2,2.4,6.56,0.93,Fail
4,20.5,42,60,70,70,10,7.94,1,2,,0,0,,2,2.6,5.06,2.81,Fail
5,43,65,125,10,110,25,10.46,3,1,0,0,0,,,0.8,4.5,2.25,Fail
6,42,90,125,70,95,50,12.47,4,3.5,6,2,0,6,2,5.9,10.31,5.25,Pass
7,22,76,110,65,70,30,9.94,2.5,2,4,0,0,3,,2.29,6.75,2.43,Fail
8,48,80,130,75,97,80,13.42,6,4,,0,0,3,2,4.59,7.31,2.62,Pass
9,50.5,100,135,70,118,80,14.46,5.5,2,7.5,7,2,8,2,7.6,11.62,11.25,Pass
10,45.5,98,137,70,100,40,13.27,5.5,3,5,6,0,4,2,6.1,12,7.31,Pass
11,13.5,59,65,35,0,25,6.08,1,1,1,0,0,2,2,3,3.37,4.87,Fail
12,42,97,130,67,110,75,13.77,5.5,2.5,3,0,0,7,,3.6,8.06,4.68,Pass
13,46.5,100,140,80,100,70,14.12,3.5,3,5,0,0,3,2,4.9,7.87,4.31,Pass
14,46,61,135,70,95,35,12.02,1,0,,,0,,2,2.2,4.87,1.87,Fail
15,37,72.5,90,50,65,35,9.45,2,2,0,0,0,,2,2.8,4.5,2.06,Fail
16,38,86,110,58,90,77.5,12.26,2,0,2.5,6,1,6,2,5.3,8.62,5.43,Pass
17,28.5,75,135,75,110,77,13.59,3,0,2.5,1,0,0,2,3.3,3.75,4.12,Fail
18,53.5,93,105,65,85,30,12.27,4,1,2.5,2,1,3.5,2,4.4,10.87,6.56,Pass
19,52.5,81,120,40,,73,11.86,5,1.5,0,1,,0,2,3.5,7.68,4.31,Fail
20,49,86,138,73,120,80,14.27,0.5,3,6,3,10,6,2,7,10.5,9.56,Pass
21,37,100,68.5,40,65,75,10.78,2,0,3.5,0,1,0,2,3.3,6,0.93,Fail
22,45,100,100,60,80,75,12.45,6,0,9,0,0,7,,4.4,4.31,4.12,Pass
23,34.5,5,68,35,75,75,9.18,2,2,1,0,0,3,2,3.6,3.37,1.5,Fail
24,60,100,140,80,115,32,14.87,7.5,6.5,3.5,1,0,0,2,5.7,10.87,8.62,Pass
25,44.5,40,110,70,24,73,11.14,2,2,0,0,0,0,2,2.8,6.75,1.12,Fail
26,43.5,90,90,60,70,77,11.94,1.5,2.5,2.5,0,,3,2,3.9,5.25,2.43,Fail
27,15,75,100,45,55,80,10.45,3,3,3,0,0,1,,2,6.18,3,Fail
28,40.5,95,115,65,80,54,11.8,3,5.5,0,0,0,6,2,4.9,2.25,2.43,Fail
29,53,82,130,80,120,70,14.06,3.5,8.5,6,3,0,8,2,7.2,11.06,11.25,Pass
30,45,55,120,65,90,77,12.39,1,2.5,2,0,0,5,2,4.09,1.5,1.12,Fail
31,44,78.5,70,15,40,35,8.36,1,2.5,0,1,0,0,2,2.9,4.31,4.87,Fail
32,39,59,91,30,70,73,10.15,6.5,2,2,0,,1,2,4.3,3.37,1.5,Fail
33,44,96,110,55,50,70,12.12,3,2,1.5,1,0.5,6,2,4.5,7.12,5.62,Pass
34,25.5,,105,55,50,32,8.03,3.5,0,1,0,0,6,2,4.09,7.12,5.06,Fail
35,44,70,120,65,110,55,12.05,0.5,5,5,0,,5,2,5.09,7.68,5.43,Pass
36,32.5,37,118,48,80,75,10.76,1,0,2,0,,3,2,3.2,6.37,5.43,Pass
37,45,78,120,75,50,45,11.66,5,6.5,2,1,,6,2,5.9,8.81,5.62,Pass
38,43.5,73,135,72,100,32,12.45,3,1,1,0,0,1,2,3.2,5.43,3.37,Fail
